ID,Mother,Father,Maternal_line,Paternal_line,Cross_CT_HT,Cross_WS,Replicate,Transect,Altitude_origin,Site_number,Trait,Batch_CT,Batch_HT,Offspring_CT,Taken_CT,TimeHT_SECS,TimeHT_MINS,Centroid_Size,Log_Centroid_Size,Transplant_site,Cage,Emergence,Rel_fitness_emergence,Survivors,Rel_fitness_survivors
585,45,280,PA93,PA16,64,NA,A,Paluma,High,14,Cold_tolerance,1,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
586,45,280,PA93,PA16,64,NA,A,Paluma,High,14,Cold_tolerance,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
587,45,280,PA93,PA16,64,NA,A,Paluma,High,14,Cold_tolerance,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
588,45,280,PA93,PA16,64,NA,A,Paluma,High,14,Heat_tolerance,NA,3,NA,NA,943,15.71666667,NA,NA,NA,NA,NA,NA,NA,NA
589,46,281,PA93,PA16,64,NA,B,Paluma,High,14,Cold_tolerance,1,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
590,46,281,PA93,PA16,64,NA,B,Paluma,High,14,Cold_tolerance,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
591,46,281,PA93,PA16,64,NA,B,Paluma,High,14,Cold_tolerance,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
592,46,281,PA93,PA16,64,NA,B,Paluma,High,14,Heat_tolerance,NA,2,NA,NA,278,4.633333333,NA,NA,NA,NA,NA,NA,NA,NA
593,46,281,PA93,PA16,64,NA,B,Paluma,High,14,Heat_tolerance,NA,8,NA,NA,435,7.25,NA,NA,NA,NA,NA,NA,NA,NA
594,46,281,PA93,PA16,64,NA,B,Paluma,High,14,Heat_tolerance,NA,3,NA,NA,467,7.783333333,NA,NA,NA,NA,NA,NA,NA,NA
595,46,281,PA93,PA16,64,NA,B,Paluma,High,14,Heat_tolerance,NA,1,NA,NA,695,11.58333333,NA,NA,NA,NA,NA,NA,NA,NA
596,47,282,PA93,PA16,64,NA,C,Paluma,High,14,Cold_tolerance,1,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
597,47,282,PA93,PA16,64,NA,C,Paluma,High,14,Cold_tolerance,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
598,47,282,PA93,PA16,64,NA,C,Paluma,High,14,Cold_tolerance,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
599,47,282,PA93,PA16,64,NA,C,Paluma,High,14,Heat_tolerance,NA,3,NA,NA,379,6.316666667,NA,NA,NA,NA,NA,NA,NA,NA
600,47,282,PA93,PA16,64,NA,C,Paluma,High,14,Heat_tolerance,NA,9,NA,NA,609,10.15,NA,NA,NA,NA,NA,NA,NA,NA
601,48,283,PA95,PA16,65,NA,A,Paluma,High,14,Cold_tolerance,1,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
602,48,283,PA95,PA16,65,NA,A,Paluma,High,14,Cold_tolerance,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
603,48,283,PA95,PA16,65,NA,A,Paluma,High,14,Cold_tolerance,1,NA,13,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
604,48,283,PA95,PA16,65,NA,A,Paluma,High,14,Heat_tolerance,NA,3,NA,NA,632,10.53333333,NA,NA,NA,NA,NA,NA,NA,NA
605,48,283,PA95,PA16,65,NA,A,Paluma,High,14,Heat_tolerance,NA,8,NA,NA,792,13.2,NA,NA,NA,NA,NA,NA,NA,NA
606,49,284,PA95,PA16,65,NA,B,Paluma,High,14,Heat_tolerance,NA,2,NA,NA,986,16.43333333,NA,NA,NA,NA,NA,NA,NA,NA
607,50,285,PA96,PA16,66,NA,A,Paluma,High,14,Cold_tolerance,1,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
608,50,285,PA96,PA16,66,NA,A,Paluma,High,14,Cold_tolerance,2,NA,11,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
609,50,285,PA96,PA16,66,NA,A,Paluma,High,14,Cold_tolerance,1,NA,18,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
610,50,285,PA96,PA16,66,NA,A,Paluma,High,14,Heat_tolerance,NA,2,NA,NA,578,9.633333333,NA,NA,NA,NA,NA,NA,NA,NA
611,50,285,PA96,PA16,66,NA,A,Paluma,High,14,Heat_tolerance,NA,9,NA,NA,1797,29.95,NA,NA,NA,NA,NA,NA,NA,NA
612,51,286,PA96,PA16,66,NA,B,Paluma,High,14,Cold_tolerance,1,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
613,51,286,PA96,PA16,66,NA,B,Paluma,High,14,Cold_tolerance,2,NA,30,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
614,51,286,PA96,PA16,66,NA,B,Paluma,High,14,Cold_tolerance,2,NA,44,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
615,51,286,PA96,PA16,66,NA,B,Paluma,High,14,Heat_tolerance,NA,2,NA,NA,489,8.15,NA,NA,NA,NA,NA,NA,NA,NA
616,51,286,PA96,PA16,66,NA,B,Paluma,High,14,Heat_tolerance,NA,8,NA,NA,570,9.5,NA,NA,NA,NA,NA,NA,NA,NA
617,51,286,PA96,PA16,66,NA,B,Paluma,High,14,Heat_tolerance,NA,3,NA,NA,1512,25.2,NA,NA,NA,NA,NA,NA,NA,NA
618,52,287,PA96,PA16,66,NA,C,Paluma,High,14,Cold_tolerance,1,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
619,52,287,PA96,PA16,66,NA,C,Paluma,High,14,Cold_tolerance,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
620,52,287,PA96,PA16,66,NA,C,Paluma,High,14,Cold_tolerance,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
621,52,287,PA96,PA16,66,NA,C,Paluma,High,14,Heat_tolerance,NA,3,NA,NA,533,8.883333333,NA,NA,NA,NA,NA,NA,NA,NA
622,53,288,PA22,PA22,8,NA,B,Paluma,Low,15,Cold_tolerance,1,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
623,53,288,PA22,PA22,8,NA,B,Paluma,Low,15,Cold_tolerance,1,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
624,53,288,PA22,PA22,8,NA,B,Paluma,Low,15,Cold_tolerance,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
625,53,288,PA22,PA22,8,NA,B,Paluma,Low,15,Heat_tolerance,NA,9,NA,NA,827,13.78333333,NA,NA,NA,NA,NA,NA,NA,NA
626,53,288,PA22,PA22,8,NA,B,Paluma,Low,15,Heat_tolerance,NA,6,NA,NA,3038,50.63333333,NA,NA,NA,NA,NA,NA,NA,NA
627,54,289,PA23,PA22,9,NA,C,Paluma,Low,15,Heat_tolerance,NA,1,NA,NA,1369,22.81666667,NA,NA,NA,NA,NA,NA,NA,NA
628,55,290,PA44,PA22,12,NA,B,Paluma,Low,15,Cold_tolerance,1,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
629,55,290,PA44,PA22,12,NA,B,Paluma,Low,15,Cold_tolerance,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
630,55,290,PA44,PA22,12,NA,B,Paluma,Low,15,Cold_tolerance,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
631,55,290,PA44,PA22,12,NA,B,Paluma,Low,15,Heat_tolerance,NA,5,NA,NA,910,15.16666667,NA,NA,NA,NA,NA,NA,NA,NA
632,55,290,PA44,PA22,12,NA,B,Paluma,Low,15,Heat_tolerance,NA,9,NA,NA,1235,20.58333333,NA,NA,NA,NA,NA,NA,NA,NA
633,56,291,PA23,PA23,15,NA,A,Paluma,Low,15,Cold_tolerance,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
634,56,291,PA23,PA23,15,NA,A,Paluma,Low,15,Cold_tolerance,1,NA,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
635,56,291,PA23,PA23,15,NA,A,Paluma,Low,15,Cold_tolerance,1,NA,25,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
636,56,291,PA23,PA23,15,NA,A,Paluma,Low,15,Heat_tolerance,NA,5,NA,NA,546,9.1,NA,NA,NA,NA,NA,NA,NA,NA
637,56,291,PA23,PA23,15,NA,A,Paluma,Low,15,Heat_tolerance,NA,9,NA,NA,856,14.26666667,NA,NA,NA,NA,NA,NA,NA,NA
638,56,291,PA23,PA23,15,NA,A,Paluma,Low,15,Heat_tolerance,NA,1,NA,NA,1246,20.76666667,NA,NA,NA,NA,NA,NA,NA,NA
639,57,292,PA23,PA23,15,NA,B,Paluma,Low,15,Cold_tolerance,1,NA,9,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
640,57,292,PA23,PA23,15,NA,B,Paluma,Low,15,Cold_tolerance,2,NA,9,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
641,57,292,PA23,PA23,15,NA,B,Paluma,Low,15,Cold_tolerance,2,NA,35,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
642,57,292,PA23,PA23,15,NA,B,Paluma,Low,15,Heat_tolerance,NA,9,NA,NA,184,3.066666667,NA,NA,NA,NA,NA,NA,NA,NA
643,57,292,PA23,PA23,15,NA,B,Paluma,Low,15,Heat_tolerance,NA,5,NA,NA,662,11.03333333,NA,NA,NA,NA,NA,NA,NA,NA
644,57,292,PA23,PA23,15,NA,B,Paluma,Low,15,Heat_tolerance,NA,2,NA,NA,1673,27.88333333,NA,NA,NA,NA,NA,NA,NA,NA
645,58,293,PA23,PA23,15,NA,C,Paluma,Low,15,Cold_tolerance,1,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
646,58,293,PA23,PA23,15,NA,C,Paluma,Low,15,Cold_tolerance,1,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
647,58,293,PA23,PA23,15,NA,C,Paluma,Low,15,Cold_tolerance,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
