ID,Dam,Sire
3014,1932,2155
3015,1932,2155
3016,1932,2155
3017,1932,2155
3018,1933,2156
3019,1933,2156
3020,1933,2156
3021,1933,2156
3022,1934,2157
3023,1934,2157
3024,1934,2157
3025,1934,2157
3026,1934,2157
3027,1934,2157
3028,1934,2157
3029,1934,2157
3030,1934,2157
3031,1934,2157
3032,1934,2157
3033,1934,2157
3034,1935,2158
3035,1935,2158
3036,1935,2158
3037,1935,2158
3038,1935,2158
3039,1935,2158
3040,1935,2158
3041,1935,2158
3042,1935,2158
3043,1935,2158
3044,1935,2158
3045,1935,2158
3046,1935,2158
3047,1935,2158
3048,1936,2159
3049,1936,2159
3050,1936,2159
3051,1936,2159
3052,1936,2159
3053,1936,2159
3054,1936,2159
3055,1936,2159
3056,1936,2159
3057,1936,2159
3058,1936,2159
3059,1936,2159
3060,1936,2159
3061,1936,2159
3062,1936,2159
3063,1936,2159
3064,1936,2159
3065,1936,2159
3066,1936,2159
3067,1937,2160
3068,1937,2160
3069,1937,2160
3070,1937,2160
3071,1938,2161
3072,1938,2161
3073,1938,2161
3074,1938,2161
3075,1938,2161
3076,1938,2161
3077,1938,2161
3078,1938,2161
3079,1938,2161
3080,1938,2161
3081,1938,2161
3082,1938,2161
3083,1938,2161
3084,1938,2161
3085,1938,2161
3086,1938,2161
3087,1938,2161
3088,1938,2161
3089,1938,2161
3090,1938,2161
3091,1938,2161
3092,1938,2161
3093,1938,2161
3094,1938,2161
3095,1938,2161
3096,1938,2161
3097,1938,2161
3098,1938,2161
3099,1938,2161
3100,1938,2161
3101,1938,2161
3102,1939,2162
3103,1939,2162
3104,1939,2162
3105,1939,2162
3106,1939,2162
3107,1939,2162
3108,1939,2162
3109,1939,2162
3110,1939,2162
3111,1939,2162
3112,1939,2162
3113,1940,2163
3114,1940,2163
3115,1940,2163
3116,1940,2163
3117,1940,2163
3118,1940,2163
3119,1940,2163
3120,1940,2163
3121,1940,2163
3122,1941,2164
3123,1941,2164
3124,1941,2164
3125,1942,2165
3126,1942,2165
3127,1942,2165
3128,1942,2165
3129,1942,2165
3130,1942,2165
3131,1942,2165
3132,1942,2165
3133,1942,2165
3134,1942,2165
3135,1943,2166
3136,1943,2166
3137,1944,2167
3138,1945,2168
3139,1945,2168
3140,1945,2168
3141,1945,2168
3142,1945,2168
3143,1945,2168
3144,1945,2168
3145,1945,2168
3146,1945,2168
3147,1945,2168
3148,1945,2168
3149,1946,2169
3150,1947,2170
3151,1947,2170
3152,1947,2170
3153,1947,2170
3154,1947,2170
3155,1947,2170
3156,1947,2170
3157,1947,2170
3158,1947,2170
3159,1947,2170
3160,1947,2170
3161,1947,2170
3162,1947,2170
3163,1947,2170
3164,1948,2171
3165,1948,2171
3166,1948,2171
3167,1948,2171
3168,1948,2171
3169,1948,2171
3170,1948,2171
3171,1948,2171
3172,1948,2171
3173,1948,2171
3174,1948,2171
3175,1948,2171
3176,1948,2171
3177,1948,2171
3178,1948,2171
3179,1948,2171
3180,1949,2172
3181,1949,2172
3182,1949,2172
3183,1949,2172
3184,1949,2172
3185,1949,2172
3186,1949,2172
3187,1950,2173
3188,1950,2173
3189,1950,2173
3190,1950,2173
3191,1950,2173
3192,1950,2173
3193,1950,2173
3194,1950,2173
3195,1950,2173
3196,1950,2173
3197,1950,2173
3198,1950,2173
3199,1950,2173
3200,1950,2173
3201,1951,2174
3202,1952,2175
3203,1952,2175
3204,1952,2175
3205,1952,2175
3206,1952,2175
3207,1952,2175
3208,1952,2175
3209,1952,2175
3210,1953,2176
3211,1953,2176
3212,1953,2176
3213,1953,2176
3214,1953,2176
3215,1953,2176
3216,1953,2176
3217,1953,2176
3218,1953,2176
3219,1953,2176
3220,1954,2177
3221,1955,2178
3222,1955,2178
3223,1955,2178
3224,1955,2178
3225,1955,2178
3226,1955,2178
3227,1955,2178
3228,1955,2178
3229,1956,2179
3230,1956,2179
3231,1956,2179
3232,1956,2179
3233,1956,2179
3234,1956,2179
3235,1956,2179
3236,1956,2179
3237,1957,2180
3238,1957,2180
3239,1957,2180
3240,1957,2180
3241,1957,2180
3242,1957,2180
3243,1957,2180
3244,1958,2181
3245,1958,2181
3246,1958,2181
3247,1958,2181
3248,1958,2181
3249,1958,2181
3250,1958,2181
3251,1958,2181
3252,1958,2181
3253,1958,2181
3254,1958,2181
3255,1958,2181
3256,1959,2182
3257,1960,2183
3258,1960,2183
3259,1960,2183
3260,1960,2183
3261,1960,2183
3262,1961,2184
3263,1961,2184
3264,1961,2184
3265,1961,2184
3266,1961,2184
3267,1961,2184
3268,1961,2184
3269,1961,2184
3270,1961,2184
3271,1961,2184
3272,1961,2184
3273,1961,2184
3274,1961,2184
3275,1962,2185
3276,1962,2185
3277,1962,2185
3278,1962,2185
3279,1962,2185
3280,1962,2185
3281,1962,2185
3282,1962,2185
3283,1962,2185
3284,1962,2185
3285,1962,2185
3286,1962,2185
3287,1962,2185
3288,1962,2185
3289,1962,2185
3290,1962,2185
3291,1962,2185
3292,1962,2185
3293,1962,2185
3294,1962,2185
3295,1962,2185
3296,1962,2185
3297,1962,2185
3298,1963,2186
3299,1963,2186
3300,1963,2186
3301,1963,2186
3302,1963,2186
3303,1963,2186
3304,1963,2186
3305,1963,2186
3306,1963,2186
3307,1963,2186
3308,1963,2186
3309,1964,2187
3310,1964,2187
3311,1964,2187
3312,1964,2187
3313,1964,2187
3314,1964,2187
3315,1964,2187
3316,1964,2187
3317,1964,2187
3318,1964,2187
3319,1965,2188
3320,1965,2188
3321,1965,2188
3322,1965,2188
3323,1965,2188
3324,1965,2188
3325,1965,2188
3326,1965,2188
3327,1965,2188
3328,1965,2188
3329,1965,2188
3330,1965,2188
3331,1965,2188
3332,1965,2188
3333,1965,2188
3334,1965,2188
3335,1965,2188
3336,1965,2188
3337,1965,2188
3338,1965,2188
3339,1965,2188
3340,1965,2188
3341,1965,2188
3342,1965,2188
3343,1965,2188
3344,1965,2188
3345,1965,2188
3346,1965,2188
3347,1965,2188
3348,1965,2188
3349,1965,2188
3350,1966,2189
3351,1966,2189
3352,1966,2189
3353,1967,2190
3354,1967,2190
3355,1967,2190
3356,1968,2191
3357,1968,2191
3358,1968,2191
3359,1968,2191
3360,1968,2191
3361,1968,2191
3362,1968,2191
3363,1968,2191
3364,1968,2191
3365,1968,2191
3366,1968,2191
